index,dates,shiftFactor,population,storage,storage_perc,storage_ts,storage_trend,storage_stl,storage_fac,storage_segment,inflow_ts,inflow_trend,inflow_stl,inflow_fac,inflow_segment,outflow_ts,outflow_trend,outflow_stl,outflow_fac,outflow_segment,supply_ts,supply_trend,supply_stl,supply_fac,supply_segment,elevation_ts,elevation_trend,elevation_stl,elevation_fac,elevation_segment
21,9,1,3.55879,78993.8573130379,-16.4469837488047,-16.4469837488047,26.6506415299132,29.6918514710154,segment1,66.3518236947603,9601.7401443106,24295.934882363,26571.4023203476,segment1,36024.1040131046,5950.4132231405,18952.0661157025,20652.8922582889,segment1,30154.3272370375,4994.02617533417,5493.50480848267,5461.40862086378,segment1,6085.70862594098,-5.02466212056962,-2.99783068785474,-2.86773105166366,segment1,-1.70538395905003
22,10,1,3.57151,100134.743731323,30.5327638473846,30.5327638473846,29.2262002688614,31.9672181396248,segment1,66.3518236947603,30212.2498203769,26942.5433832347,27478.6969230336,segment1,36024.1040131046,3689.25619834711,20274.3801652893,21187.0360089953,segment1,30154.3272370375,5382.10720374457,5509.16178541875,5462.77235191991,segment1,6085.70862594098,-2.77092078730954,-2.89858321908149,-2.76917722307831,segment1,-1.70538395905003
23,11,1,3.58471,109095.837952504,50.4463065611196,50.4463065611196,33.9397211471116,34.2425848082343,segment1,66.3518236947603,55842.1149300496,29810.6552924926,28385.9915257197,segment1,36024.1040131046,41652.8925619835,22249.5867768595,21721.1797597017,segment1,30154.3272370375,5228.1281468855,5439.98412042061,5464.13608297605,segment1,6085.70862594098,-1.92488597498348,-2.71052636258611,-2.67062339449297,segment1,-1.70538395905003
24,12,1,3.59814,107876.73963022,47.7371991782671,47.7371991782671,38.0991169834001,38.5639787736168,segment1,66.3518236947603,49766.8049728221,29748.7201608211,29857.6916309529,segment1,36024.1040131046,45619.8347107438,22489.2561983471,22668.6979823922,segment1,30154.3272370375,5366.06858436201,5387.73583614422,5496.90723034382,segment1,6085.70862594098,-2.03762973918242,-2.53186457120054,-2.48952321196737,segment1,-1.70538395905003
25,1,1,3.61098,108782.676862863,49.7503930285851,49.7503930285851,43.7289484656446,42.8853727389994,segment1,66.3518236947603,8000.42547344254,32034.3310931162,31329.3917361861,segment1,36024.1040131046,1983.47107438016,23968.5950413223,23616.2162050827,segment1,30154.3272370375,5111.01716641928,5532.31188478387,5529.6783777116,segment1,6085.70862594098,-1.95384751106414,-2.28620490668606,-2.30842302944177,segment1,-1.70538395905003
26,2,1,3.62368,109886.692660805,52.2037614684556,52.2037614684556,50.9534523173607,49.1125684703642,segment1,66.3518236947603,59117.2085920819,34310.2362474895,32927.5024172287,segment1,36024.1040131046,53553.7190082644,25447.9338842975,24753.6579094431,segment1,30154.3272370375,4459.47378587589,5611.27562991978,5559.21421335391,segment1,6085.70862594098,-1.85174672516368,-1.9694724309418,-2.05373861533241,segment1,-1.70538395905003
27,3,1,3.63646,109512.836738593,51.3729705302076,51.3729705302076,57.1259881042061,55.339764201729,segment1,66.3518236947603,32550.9254261003,33813.4481954608,34525.6130982714,segment1,36024.1040131046,27768.5950413223,25447.9338842975,25891.0996138034,segment1,30154.3272370375,5156.18630698952,5587.87320708292,5588.75004899623,segment1,6085.70862594098,-1.88632139659728,-1.68899459496383,-1.79905420122306,segment1,-1.70538395905003
28,4,1,3.64962,135026.428198865,108.069840441922,108.069840441922,66.7965638464892,63.1393331296709,segment1,66.3518236947603,90642.24169885,38525.3345400731,37230.872246246,segment1,36024.1040131046,59504.1322314049,28600,28325.7125507231,segment1,30154.3272370375,5624.51800717405,5573.57545604578,5576.8081040139,segment1,6085.70862594098,0.282685002729039,-1.3126308465697,-1.48934540801406,segment1,-1.70538395905003
29,5,1,3.66249,120549.306749348,75.8984594429952,75.8984594429952,74.2615579932142,70.9389020576128,segment1,66.3518236947603,5088.92974898016,41404.3370010887,39936.1313942206,segment1,36024.1040131046,11900.826446281,32495.867768595,30760.3254876428,segment1,30154.3272370375,7665.2247522161,5549.22186646753,5564.86615903157,segment1,6085.70862594098,-0.909784049849435,-1.04124722966096,-1.17963661480507,segment1,-1.70538395905003
30,6,1,3.67551,108955.8752959,50.1352784353327,50.1352784353327,78.402647283297,77.7901333686757,segment1,66.3518236947603,-292.122882791822,41323.9868842361,42679.0320051186,segment1,36024.1040131046,5950.4132231405,33900.826446281,33884.7790970524,segment1,30154.3272370375,5350.8953475158,5559.67025741788,5578.16433173578,segment1,6085.70862594098,-1.93782989957458,-0.885248089970799,-0.909031053284918,segment1,-1.70538395905003
31,7,1,3.68861,123612.817811902,82.7062618042265,82.7062618042265,82.3878839709575,84.6413646797386,segment1,66.3518236947603,63868.3501212902,44427.6587251663,45421.9326160165,segment1,36024.1040131046,41652.8925619835,37041.3223140496,37009.232706462,segment1,30154.3272370375,7558.51504330454,5592.97990166961,5591.46250443999,segment1,6085.70862594098,-0.645870278092531,-0.735706394556463,-0.638425491764765,segment1,-1.70538395905003
32,8,1,3.70092,118585.102569572,71.5335612657158,71.5335612657158,82.8737655683097,89.6242968871997,segment1,66.3518236947603,6169.25380480256,45464.3485419813,48067.5378807363,segment1,36024.1040131046,6148.76033057851,39603.305785124,40041.1525967107,segment1,30154.3272370375,5048.20871655383,5642.396038049,5610.4791862487,segment1,6085.70862594098,-1.07899529896861,-0.715485667763854,-0.451974594123184,segment1,-1.70538395905003
33,9,1,3.71319,107408.697808598,46.6971062413282,46.6971062413282,90.6386987791405,94.6072290946609,segment1,66.3518236947603,-11.7468652601527,51653.6895995576,50713.1431454561,segment1,36024.1040131046,5950.4132231405,42495.867768595,43073.0724869594,segment1,30154.3272370375,5214.24467257379,5663.60188608881,5629.4958680574,segment1,6085.70862594098,-2.08091484244912,-0.447331846653341,-0.265523696481602,segment1,-1.70538395905003
