index,dates,observedInflow,storage,outflow,totalWaterSupply,elevation,population,shiftFactor,inflow,deficit
65,6,10914.359419556391,122251.1325756523,5950.413223140496,5280.116491565157,250.7368239641327,414777.0,1.0,0.0,0.0
66,7,-124.82316541733648,109843.29659235325,6148.760330578512,6134.252487303211,249.64423995120254,416058.0,1.0,0.0,0.0
67,8,-2999.3286476922776,94734.73885048012,6148.760330578512,5960.46876360231,248.19421343606183,417440.0,1.0,0.0,0.0
68,9,2181.6822502792666,85881.41839672267,5950.413223140496,5084.589480896218,247.26003637110088,418722.0,1.0,0.0,0.0
69,10,34.18904566991489,73823.26830794362,3689.256198347107,8403.082936101853,245.85631712193776,420060.0,1.0,0.0,0.0
70,11,67709.38059268979,108734.33674405,27768.595041322318,5029.717115261126,249.54168193323315,421364.0,1.0,0.0,0.0
71,12,68832.00990520914,110690.7404371535,61487.603305785095,5388.002906320704,249.72261263637782,422637.0,1.0,0.0,0.0
72,1,57286.82826484196,108165.36051846105,53553.719008264445,6258.489175270059,249.4890622878444,423914.0,1.0,0.0,0.0
73,2,174127.0496088046,189942.3858309961,85289.25619834715,7060.768097922596,255.75904310718616,425222.0,1.0,0.0,0.0
74,3,96106.79598221827,186943.82656614503,93223.14049586783,5882.21475120178,255.55575095363696,426509.0,1.0,0.0,0.0
75,4,14341.944017464119,136328.7811708967,59504.132231404925,5452.857181307806,251.887637293166,427769.0,1.0,0.0,0.0
76,5,7757.01495800368,120732.18070457925,17851.239669421488,5502.375754899637,250.60597008137313,429056.0,1.0,0.0,0.0
77,6,64028.92628337128,124850.22626943795,53553.71900826446,6357.161710248107,250.96072934781515,430317.0,1.0,0.0,0.0
78,7,34497.842362063,123118.80985816255,29752.06611570248,6477.192657635931,250.81157217937303,431581.0,1.0,0.0,0.0
79,8,496.3886318236781,110749.59785912273,6148.760330578512,6716.840300284979,249.7280558456601,432833.0,1.0,0.0,0.0
80,9,9721.591173669418,108415.53683329486,5950.413223140496,6105.23897635679,249.5121989118001,434135.0,1.0,0.0,0.0
81,10,5078.240603579961,102555.4784654836,3689.256198347107,7249.042773044122,248.9688508781184,435457.0,1.0,0.0,0.0
82,11,21489.911042102343,107677.3044820674,9917.355371900827,6450.729653617681,249.44392624452672,436745.0,1.0,0.0,0.0
83,12,106325.62528067957,147037.97957349505,61487.603305785095,5477.346883467121,252.70844874208362,438024.0,1.0,0.0,0.0
84,1,25389.00075012648,106415.07348239604,59504.132231404925,6507.774609820679,249.3271935154348,439312.0,1.0,0.0,0.0
85,2,51012.96647609825,107169.82594566721,43636.36363636363,6621.850376463567,249.3969939836925,440646.0,1.0,0.0,0.0
86,3,34222.14725967499,107053.25085280645,27768.595041322318,6570.127311213434,249.386212970758,441928.0,1.0,0.0,0.0
