index,dates,shiftFactor,population,storage,storage_perc,storage_ts,storage_trend,storage_stl,storage_fac,storage_segment,inflow_ts,inflow_trend,inflow_stl,inflow_fac,inflow_segment,outflow_ts,outflow_trend,outflow_stl,outflow_fac,outflow_segment,supply_ts,supply_trend,supply_stl,supply_fac,supply_segment,elevation_ts,elevation_trend,elevation_stl,elevation_fac,elevation_segment
21,9,0.983333333333333,3.55355,68006.0759731755,-40.8642756151655,-40.8642756151655,42.0602444181302,39.6618242859672,segment1,64.0388224489247,4470.89545705571,27494.4045617745,29169.5531952088,segment1,36693.8819231974,5950.4132231405,25117.3553719008,24102.9446644553,segment1,30602.2170305977,4855.0787165276,5100.03138852684,5133.73929015714,segment1,5789.80143560131,-6.3780453009372,-2.64281378670617,-2.71893776645395,segment1,-1.59296808561405
22,10,0.9825,3.56684,58371.2220172324,-62.2750621839281,-62.2750621839281,42.693040014902,42.8894392976914,segment1,64.0388224489247,40.8098133387019,30362.0865252068,31995.3553558213,segment1,36693.8819231974,3689.25619834711,24952.0661157025,25854.4068233757,segment1,30602.2170305977,5986.40757093478,5125.26239095711,5164.17905714021,segment1,5789.80143560131,-7.73767955365398,-2.61498361561577,-2.59390074554649,segment1,-1.59296808561405
23,11,0.981666666666667,3.57918,82534.1457088821,-8.57967620248425,-8.57967620248425,47.9892435687338,46.1170543094156,segment1,64.0388224489247,33370.5582705481,36499.6832170846,34821.1575164338,segment1,36693.8819231974,3570.2479338843,28993.3884297521,27605.868982296,segment1,30602.2170305977,5637.38664501403,5123.00318810831,5194.61882412328,segment1,5789.80143560131,-4.60820659817884,-2.41594739758544,-2.46886372463904,segment1,-1.59296808561405
24,12,0.980833333333333,3.592,108680.872635612,49.5241614124705,49.5241614124705,51.8630133453932,52.9950248935211,segment1,64.0388224489247,49022.0034688216,39883.4408943201,38325.4870274296,segment1,36693.8819231974,17851.2396694215,33034.7107438016,30426.1666153347,segment1,30602.2170305977,5024.03687267042,5105.53375102184,5187.92194841691,segment1,5789.80143560131,-1.96326249555057,-2.25685125764879,-2.19945329019353,segment1,-1.59296808561405
25,1,0.98,3.60518,163559.802290684,171.477338423743,171.477338423743,57.4682445911848,59.8729954776265,segment1,64.0388224489247,126927.136425963,40899.7484448008,41829.8165384254,segment1,36693.8819231974,67438.0165289256,33274.3801652892,33246.4642483733,segment1,30602.2170305977,4610.19024196477,5103.01421890544,5181.22507271054,segment1,5789.80143560131,2.42672308354767,-2.01803225241607,-1.93004285574803,segment1,-1.59296808561405
26,2,0.979166666666667,3.61777,164960.310601393,174.589579114206,174.589579114206,65.7385813973005,69.0671062775584,segment1,64.0388224489247,61114.0653877194,42843.5682709536,44391.8055906496,segment1,36693.8819231974,55537.1900826446,34001.652892562,35418.7662951781,segment1,30602.2170305977,4176.36699436686,5120.26381563971,5138.22284137781,segment1,5789.80143560131,2.52769918869632,-1.6536514168644,-1.53191102292676,segment1,-1.59296808561405
27,3,0.978333333333333,3.6305,128764.495241071,94.1544338690467,94.1544338690467,75.1207946718212,78.2612170774904,segment1,64.0388224489247,31339.17151865,43850.5112800145,46953.7946428739,segment1,36693.8819231974,61487.6033057851,34489.2561983471,37591.0683419829,segment1,30602.2170305977,6047.38357318677,5139.25910813314,5095.22061004508,segment1,5789.80143560131,-0.221943328143198,-1.22207338546641,-1.13377919010549,segment1,-1.59296808561405
28,4,0.9775,3.64334,151577.299402864,144.849554228586,144.849554228586,85.0198796589169,88.7318940848758,segment1,64.0388224489247,87343.3466684098,46488.5069427067,50120.2809746321,segment1,36693.8819231974,59504.1322314049,36897.520661157,40514.1827749003,segment1,30602.2170305977,5026.41027521245,5136.39803735672,5062.69271719107,segment1,5789.80143560131,1.55138501007116,-0.737771646855338,-0.66964142106091,segment1,-1.59296808561405
29,5,0.976666666666667,3.65633,123918.468504516,83.3854855655911,83.3854855655911,98.7502496436899,99.2025710922612,segment1,64.0388224489247,80337.8219780557,53578.8076020723,53286.7673063903,segment1,36693.8819231974,103140.495867769,42297.520661157,43437.2972078178,segment1,30602.2170305977,4856.1570086348,5102.62044776756,5030.16482433706,segment1,5789.80143560131,-0.619539239790157,-0.148991528306877,-0.205503652016333,segment1,-1.59296808561405
30,6,0.975833333333333,3.66973,118063.127062342,70.3736156940942,70.3736156940942,114.820927108902,109.710736244581,segment1,64.0388224489247,4665.03316054121,60814.8387082824,57267.239709743,segment1,36693.8819231974,5950.4132231405,48512.3966942149,47573.4186154481,segment1,30602.2170305977,4569.96137957434,5070.63715472223,5032.88109127902,segment1,5789.80143560131,-1.12396217588363,0.436607479097141,0.216912984565859,segment1,-1.59296808561405
31,7,0.975,3.68209,123636.166170987,82.7581470466381,82.7581470466381,126.838257433408,120.218901396901,segment1,64.0388224489247,22668.464456385,65199.6215114713,61247.7121130956,segment1,36693.8819231974,11900.826446281,54710.7438016529,51709.5400230784,segment1,30602.2170305977,5194.59890145928,5081.07906379066,5035.59735822098,segment1,5789.80143560131,-0.643858875690313,0.832167077472163,0.639329621148052,segment1,-1.59296808561405
32,8,0.974166666666667,3.69495,124972.035417539,85.7267453723092,85.7267453723092,132.253989849271,126.784243340423,segment1,64.0388224489247,24784.9727491582,65727.1113082503,62708.7001691339,segment1,36693.8819231974,17851.2396694215,58181.8181818182,54172.6414945798,segment1,30602.2170305977,5597.86383318469,5108.21353929414,5066.0150978752,segment1,5789.80143560131,-0.528777100487645,0.9977836311769,0.877822074030112,segment1,-1.59296808561405
33,9,0.973333333333333,3.7075,118702.616376248,71.7947030583292,71.7947030583292,133.526045695804,133.349585283946,segment1,64.0388224489247,4714.60746811074,64337.069559265,64169.6882251721,segment1,36693.8819231974,5950.4132231405,58677.6859504132,56635.7429660813,segment1,30602.2170305977,5033.6132862613,5086.95847791186,5096.43283752942,segment1,5789.80143560131,-1.06887178013028,1.03965421935214,1.11631452691217,segment1,-1.59296808561405
34,10,0.9725,3.72025,114584.799474793,62.6439988328735,62.6439988328735,132.456284902014,135.205469505674,segment1,64.0388224489247,63108.9937068969,63239.8497269943,63063.2398239694,segment1,36693.8819231974,61487.6033057851,58677.6859504132,56552.0320960144,segment1,30602.2170305977,5739.20730256707,5043.55613378682,5133.49203885346,segment1,5789.80143560131,-1.42361134779517,1.00357206204681,1.15877874214336,segment1,-1.59296808561405
35,11,0.971666666666667,3.73304,174608.56408687,196.030142415267,196.030142415267,131.1547428664,137.061353727402,segment1,64.0388224489247,140469.590201765,59114.9276646071,61956.7914227666,segment1,36693.8819231974,75371.9008264463,54628.0991735537,56468.3212259475,segment1,30602.2170305977,5073.92476324184,5072.52240707981,5170.5512401775,segment1,5789.80143560131,3.20844804112542,0.959326328306674,1.20124295737456,segment1,-1.59296808561405
36,12,0.970833333333333,3.74563,190169.770881913,230.610601959807,230.610601959807,131.02135037506,135.00724502698,segment1,64.0388224489247,115587.718086645,55657.7115131104,59965.4672107075,segment1,36693.8819231974,95206.611570248,50578.5123966942,55182.6750288274,segment1,30602.2170305977,4819.89972135482,5139.22573751952,5219.14331526276,segment1,5789.80143560131,4.27445904284161,0.954155185895994,1.08519522315232,segment1,-1.59296808561405
37,1,0.97,3.75838,211858.071549054,278.806825664564,278.806825664564,128.513074043484,132.953136326558,segment1,64.0388224489247,165596.209084675,54466.4071791277,57974.1429986484,segment1,36693.8819231974,138842.975206611,50338.8429752066,53897.0288317073,segment1,30602.2170305977,5064.93321092271,5256.28855313018,5267.73539034802,segment1,5789.80143560131,5.68243190615601,0.852055219307422,0.969147488930073,segment1,-1.59296808561405
38,2,0.969166666666667,3.77143,175151.951434339,197.237669854087,197.237669854087,125.386427853185,129.633734082448,segment1,64.0388224489247,35104.7478517035,53558.1280006757,56229.0127475608,segment1,36693.8819231974,67438.0165289256,49611.5702479339,52288.4648266407,segment1,30602.2170305977,4372.85143749241,5353.54853837669,5291.26982445151,segment1,5789.80143560131,3.24678765500167,0.725983299201813,0.821142369492145,segment1,-1.59296808561405
39,3,0.968333333333333,3.78458,132311.057550685,102.035683445968,102.035683445968,123.499200509958,126.314331838338,segment1,64.0388224489247,23987.4870790174,53625.6253979631,54483.8824964732,segment1,36693.8819231974,61487.6033057851,49123.9669421487,50679.900821574,segment1,30602.2170305977,5340.77765688634,5350.91076026643,5314.80425855501,segment1,5789.80143560131,0.0638623217572274,0.6512127543004,0.673137250054217,segment1,-1.59296808561405
40,4,0.9675,3.79728,136477.320520314,111.294045600697,111.294045600697,127.585685452022,123.781755202678,segment1,64.0388224489247,68361.7551335451,57006.2343528741,52483.8467503035,segment1,36693.8819231974,59504.1322314049,49785.1239669421,48443.0256855142,segment1,30602.2170305977,4691.35993251206,5382.19216200329,5333.92013253809,segment1,5789.80143560131,0.399607584842784,0.788603526987044,0.603115647358928,segment1,-1.59296808561405
41,5,0.966666666666667,3.81013,124961.793402435,85.7039853387449,85.7039853387449,131.949018139605,121.249178567019,segment1,64.0388224489247,321.284015628848,57409.5780508509,50483.8110041339,segment1,36693.8819231974,5950.4132231405,50033.0578512397,46206.1505494543,segment1,30602.2170305977,5886.39791036694,5413.02049019892,5353.03600652118,segment1,5789.80143560131,-0.529659424325018,0.943682450918088,0.533094044663638,segment1,-1.59296808561405
42,6,0.965833333333333,3.82305,115579.163257947,64.8536961287717,64.8536961287717,128.47399158398,118.74770299787,segment1,64.0388224489247,1708.38348704781,52308.6595191917,48323.9603864292,segment1,36693.8819231974,5950.4132231405,48462.8099173553,44084.3140354688,segment1,30602.2170305977,5140.60040839528,5409.61155186793,5387.06670835496,segment1,5789.80143560131,-1.33794940920509,0.834309552043798,0.49920898531494,segment1,-1.59296808561405
43,7,0.965,3.83583,99030.7455943668,28.0794346541485,28.0794346541485,121.27380288468,116.24622742872,segment1,64.0388224489247,-2966.18988570782,46591.6554391818,46164.1097687244,segment1,36693.8819231974,6148.76033057851,44413.2231404959,41962.4775214833,segment1,30602.2170305977,7433.46744729406,5418.51721337101,5421.09741018875,segment1,5789.80143560131,-2.88027084049457,0.61297960426851,0.465323925966242,segment1,-1.59296808561405
44,8,0.964166666666667,3.84862,115809.677138925,65.3659491976118,65.3659491976118,111.740359365144,113.585154783829,segment1,64.0388224489247,28620.9268084031,42180.4977693894,45743.5535411791,segment1,36693.8819231974,6148.76033057851,41024.7933884297,41411.4472956379,segment1,30602.2170305977,5693.23493326615,5445.75396475121,5482.41390075917,segment1,5789.80143560131,-1.318091218218,0.304007289018576,0.403692041508972,segment1,-1.59296808561405
45,9,0.963333333333333,3.86173,107482.919348014,46.8620429955872,46.8620429955872,105.046360440173,110.924082138938,segment1,64.0388224489247,2498.59094376311,43023.1711992737,45322.9973136337,segment1,36693.8819231974,5950.4132231405,40528.9256198347,40860.4170697926,segment1,30602.2170305977,4874.93551153368,5506.5450956757,5543.73039132959,segment1,5789.80143560131,-2.07405074003384,0.06895974876304,0.342060157051702,segment1,-1.59296808561405
46,10,0.9625,3.87414,169938.533877319,185.652297505154,185.652297505154,102.226617042291,108.990588604051,segment1,64.0388224489247,146459.62514911,44837.8500209096,46920.6803167307,segment1,36693.8819231974,77355.3719008264,40528.9256198347,42281.7870345745,segment1,30602.2170305977,6648.63871897929,5577.80893012195,5589.77807552803,segment1,5789.80143560131,2.87894615658783,-0.0360862299511382,0.260742296478891,segment1,-1.59296808561405
47,11,0.961666666666667,3.88667,166378.822710243,177.741828244985,177.741828244985,100.71085609382,107.057095069165,segment1,64.0388224489247,66799.2075109937,47199.516122485,48518.3633198277,segment1,36693.8819231974,65454.5454545454,42264.4628099173,43703.1569993563,segment1,30602.2170305977,4904.37322352466,5617.14573937995,5635.82575972648,segment1,5789.80143560131,2.62778471108749,-0.0922314981858072,0.179424435906081,segment1,-1.59296808561405
48,12,0.960833333333333,3.89996,160869.225457785,165.498278795077,165.498278795077,100.08791680256,105.230346323851,segment1,64.0388224489247,66836.0560175952,49333.0662347579,50088.652245688,segment1,36693.8819231974,67438.0165289256,44000,45263.7524906318,segment1,30602.2170305977,4907.63674112829,5613.38891582488,5640.01172626931,segment1,5789.80143560131,2.23017279989659,-0.116649276740755,0.0831528738839225,segment1,-1.59296808561405
