index,dates,shiftFactor,population,storage_asis,inflow_ts,inflow_trend,inflow_stl,inflow_fac,inflow_segment,storage_ts,storage_trend,storage_stl,storage_fac,storage_segment,outflow_ts,outflow_trend,outflow_stl,outflow_fac,outflow_segment,supply_ts,supply_trend,supply_stl,supply_fac,supply_segment,elevation_ts,elevation_trend,elevation_stl,elevation_fac,elevation_segment
21,9,0.99,3.5627,45.0218698359599,8863.84901025985,21243.8405928414,22287.1154626578,segment1,32270.1117835054,45.0218698359599,53.7849514997857,58.302365208097,segment1,56.1909532248913,5950.4132231405,22366.9421487603,20628.9572019817,segment1,26368.4565118964,4498.24427812393,5154.12099004317,5148.03062052814,segment1,5814.33056911932,-2.1506324400091,-1.83564278395138,-1.62543366230747,segment1,-1.84658374150602
22,10,0.9895,3.57573,33.4713744211964,3381.22775971011,19693.754511787,20748.5998609164,segment1,32270.1117835054,33.4713744211964,46.4332372871733,51.4095344208485,segment1,56.1909532248913,3689.25619834711,17821.4876033058,18681.6950620937,segment1,26368.4565118964,4889.69449800658,5180.53830415689,5185.24600315621,segment1,5814.33056911932,-2.63994072013284,-2.09953665459921,-1.8908762811889,segment1,-1.84658374150602
23,11,0.989,3.58856,26.9763302434722,5717.26980148316,19454.3245539645,19210.0842591751,segment1,32270.1117835054,26.9763302434722,43.646400249016,44.5167036336001,segment1,56.1909532248913,3570.2479338843,15507.4380165289,16734.4329222057,segment1,26368.4565118964,5069.79174757477,5200.96320460634,5222.46138578429,segment1,5814.33056911932,-2.92943852916375,-2.21550322222661,-2.15631890007034,segment1,-1.84658374150602
24,12,0.9885,3.60172,26.2356060331319,8186.00309127921,19409.8781710773,18785.9671718339,segment1,32270.1117835054,26.2356060331319,40.7652930379101,39.2231785412852,segment1,56.1909532248913,3689.25619834711,15507.4380165289,16173.0507611861,segment1,26368.4565118964,4830.07278758522,5198.93839954609,5205.74452817613,segment1,5814.33056911932,-2.96245416849155,-2.33926021833103,-2.40157251926621,segment1,-1.84658374150602
25,1,0.988,3.61446,49.5216875777556,73652.5755439099,18935.0073177804,18361.8500844928,segment1,32270.1117835054,49.5216875777556,36.998783729937,33.9296534489703,segment1,56.1909532248913,57520.6611570248,15507.4380165289,15611.6686001665,segment1,26368.4565118964,5653.17769180463,5122.49848983938,5189.02767056797,segment1,5814.33056911932,-1.96336544807269,-2.50600415801322,-2.64682613846207,segment1,-1.84658374150602
26,2,0.9875,3.62747,49.9771403794452,60593.3027873755,17950.5109399735,18301.1569248521,segment1,32270.1117835054,49.9771403794452,31.2068559030006,28.3242368140344,segment1,56.1909532248913,55537.1900826446,15507.4380165289,15608.30451182,segment1,26368.4565118964,4851.15894397071,5049.440445566,5157.33286674596,segment1,5814.33056911932,-1.9444110634652,-2.77379192235125,-2.92228246236637,segment1,-1.84658374150602
27,3,0.987,3.64023,50.2733082824062,33025.1741901727,17501.3389351119,18240.4637652113,segment1,32270.1117835054,50.2733082824062,24.4150698695082,22.7188201790986,segment1,56.1909532248913,27768.5950413223,15507.4380165289,15604.9404234735,segment1,26368.4565118964,5123.30359251795,5050.2046336546,5125.63806292395,segment1,5814.33056911932,-1.9320855704168,-3.10311037556234,-3.19773878627067,segment1,-1.84658374150602
28,4,0.9865,3.6527,47.124403685026,8225.13124671088,17896.7386785278,19213.5160780464,segment1,32270.1117835054,47.124403685026,18.2566812555998,19.9973965241915,segment1,56.1909532248913,3966.94214876033,15507.4380165289,15685.2937861484,segment1,26368.4565118964,5675.1961667716,5160.57553825768,5143.17400604038,segment1,5814.33056911932,-2.06313218734283,-3.40562401316087,-3.33518106363937,segment1,-1.84658374150602
29,5,0.986,3.66592,21.9225900157634,-254.005772567779,20000.0944817408,20186.5683908815,segment1,32270.1117835054,21.9225900157634,16.6571386038093,17.2759728692843,segment1,56.1909532248913,6148.76033057851,15441.3223140496,15765.6471488233,segment1,26368.4565118964,4938.05004802193,5278.56636099699,5160.70994915682,segment1,5814.33056911932,-3.15469438321185,-3.48972583033229,-3.47262334100808,segment1,-1.84658374150602
30,6,0.9855,3.67872,17.0169369020723,9125.94781640058,23310.4954154143,20605.2643352137,segment1,32270.1117835054,17.0169369020723,18.5775265260696,18.1042283655944,segment1,56.1909532248913,5950.4132231405,17122.3140495868,15478.5804234054,segment1,26368.4565118964,5383.07849442107,5324.00680081045,5198.92693643555,segment1,5814.33056911932,-3.37334968245514,-3.4073969336931,-3.43506400340501,segment1,-1.84658374150602
