index,dates,observedInflow,storage,outflow,totalWaterSupply,elevation,population,shiftFactor
119,12,11694.715895692914,97619.02241167883,3689.256198347107,6220.357594549341,248.47989920876373,484119.0,0.9801666666666666
120,1,18547.58340074316,108344.09014081088,1983.4710743801647,5839.044597230948,249.50559143076023,485449.0,0.98
121,2,16638.139053004794,107409.04832828027,11900.826446280991,5672.354419254383,249.4191175740572,486790.0,0.9798333333333332
122,3,47067.80480641771,107745.61454633652,39669.42148760331,7061.817100758253,249.4502436461977,488146.0,0.9796666666666668
123,4,8603.949814534279,108180.29071968401,1983.4710743801647,6185.802566806613,249.4904430518528,489507.0,0.9795
124,5,52181.716016162696,124256.7725203769,29752.06611570248,6353.1680997673475,250.9096048001703,490855.0,0.9793333333333334
125,6,-776.9229858053516,111395.2237466231,5950.413223140496,6134.2125648079455,249.78776414932238,492213.0,0.9791666666666666
126,7,1110.1875858965384,98068.54323850936,6148.760330578512,8288.107763431744,248.52442385484443,493541.0,0.9790000000000001
127,8,14449.007565769109,100286.90828546564,6148.760330578512,6081.882188234317,248.74415097914678,494850.0,0.9788333333333332
128,9,1879.236952948396,89443.85246432351,5950.413223140496,6771.879550950031,247.6429291126745,496188.0,0.9786666666666668
129,10,64.15372558237732,79656.16616691531,3689.256198347107,6162.583824643477,246.5532474022956,497533.0,0.9785
130,11,34110.476184295236,104240.75297483275,3570.2479338842977,5955.641442493487,249.12610958798047,498863.0,0.9783333333333334
131,12,48824.0970403808,106813.76801910553,39669.42148760331,6581.66050850481,249.3640652935453,500209.0,0.9781666666666666
132,1,15268.63747570626,107711.51387497953,7933.884297520661,6437.007322311575,249.44708997271613,501505.0,0.978
133,2,56889.078238114715,106552.12573760176,51570.247933884275,6478.218441608266,249.33986828240097,502877.0,0.9778333333333332
134,3,32198.26933226716,105020.39447410835,25785.12396694216,7944.876628818428,249.19821182596024,504190.0,0.9776666666666668
135,4,61924.26405500957,107283.29019349958,53553.719008264445,6107.649327354071,249.4074873017201,505526.0,0.9775
136,5,13823.681802509078,107975.16825109848,6148.760330578512,6983.04341433162,249.47147306493096,506903.0,0.9773333333333334
137,6,1785.1754620411953,97169.86695669706,5950.413223140496,6640.063533302124,248.43541075244624,508199.0,0.9771666666666666
138,7,36960.146615827165,121680.004409424,5950.413223140496,6499.595939959757,250.68762270928883,509503.0,0.977
139,8,-1128.9344684986079,108189.73164375553,6148.760330578512,6212.577966591344,249.4913161605249,510816.0,0.9768333333333332
140,9,4313.930935467942,100563.49678463268,5950.413223140496,5989.752571450284,248.77154682890574,512196.0,0.9766666666666668
141,10,3335.491020030182,93400.50462807412,3689.256198347107,6809.226978241641,248.0620586992942,513541.0,0.9765
142,11,17061.717821469683,99936.95208416328,3570.2479338842977,6955.022431496202,248.70948812244086,514919.0,0.9763333333333334
143,12,17701.13027470943,107434.18707245485,3966.9421487603295,6236.953137657552,249.42144243710854,516291.0,0.9761666666666666
144,1,22851.470161281934,107868.98280565412,15867.768595041323,6548.905833041296,249.46165289981082,517574.0,0.976
145,2,229648.43629178198,212629.16025148888,119008.26446280988,5879.9943831375795,257.23045088127344,518898.0,0.9758333333333332
146,3,152098.83170355015,213295.89581088122,144793.388429752,6638.707714406081,257.27197134206506,520264.0,0.9756666666666668
147,4,19917.1323376877,160510.95945044962,65454.54545454541,7247.523243574092,253.70400098257358,521620.0,0.9755
148,5,13682.254737769688,120422.37071021642,47603.305785123965,6167.537692878903,250.57928072968784,522983.0,0.9753333333333334
149,6,26993.86420022161,123489.1863251258,17851.239669421488,6075.8089158907505,250.8434791803176,524341.0,0.9751666666666666
150,7,11811.169317915988,122726.79432971742,5950.413223140496,6623.1480901838595,250.77780102771519,525652.0,0.975
151,8,5095.525536844544,115280.5594324525,6148.760330578512,6393.00010353095,250.1363266223684,526987.0,0.9748333333333332
152,9,47072.98454862912,119584.11311512721,35702.479338842975,7066.951527111447,250.50706694651336,528315.0,0.9746666666666668
153,10,55748.479638368044,107731.45336200656,61487.603305785095,6113.536085703754,249.44893400185023,529704.0,0.9745
154,11,41819.480081929236,106783.33113998489,35702.47933884298,7065.12296510797,249.361250452232,531056.0,0.9743333333333334
155,12,102395.80128638724,141473.98454649522,61487.603305785095,6217.544574092104,252.2849447820441,532361.0,0.9741666666666666
156,1,170617.20610722128,200699.71181421843,105123.9669421488,6267.511897349555,256.4667307746429,533685.0,0.9740000000000001
157,2,52227.259643338206,174008.24227415788,71404.95867768592,7513.77050571293,254.6660913197035,534985.0,0.9738333333333332
158,3,31290.165652300802,136907.48699999566,61487.603305785095,6903.317620678219,251.9342732694009,536298.0,0.9736666666666668
159,4,21698.009947749557,105969.01216146378,45619.8347107438,7016.6500755377565,249.28594119684303,537613.0,0.9735
160,5,45666.161242300164,121424.4475130302,23801.652892561982,6409.072998171736,250.66560712551947,538951.0,0.9733333333333334
161,6,1.4017348873276467,108276.34546532636,5950.413223140496,7199.090559450667,249.4993263169635,540307.0,0.9731666666666666
162,7,15719.648357599388,109014.22404999335,6148.760330578512,8833.009442353896,249.56756626745516,541633.0,0.973
163,8,1427.1685803588766,97718.8396416645,6148.760330578512,6573.792658109219,248.48978601838988,542995.0,0.9728333333333332
164,9,481.56781118036383,84917.10383110661,5950.413223140496,7332.890398597748,247.1563912114259,544346.0,0.9726666666666668
165,10,36539.91215720324,107185.24777066355,7933.884297520661,6337.883920125586,249.39842021369307,545693.0,0.9725
166,11,3340.3132225404033,100511.89845401152,3570.2479338842977,6443.414605308143,248.7664360592325,547015.0,0.9723333333333334
167,12,68979.82467244039,105838.84224891225,55537.19008264461,8115.690794895187,249.2739029176836,548392.0,0.9721666666666666
168,1,17398.729626449014,106129.69973035232,9917.355371900827,7190.516773108069,249.30080178769558,549684.0,0.972
169,2,31396.09336117371,105110.8633176633,23801.652892561993,8613.276881300731,249.2065784997377,551054.0,0.9718333333333332
170,3,7238.861423866291,102313.37792864683,3689.256198347107,6347.090614535634,248.94487103096742,552353.0,0.9716666666666668
171,4,95199.06889766458,129837.29194400524,59504.132231404925,8171.022650901536,251.3645097867681,553696.0,0.9715
172,5,19876.80740508579,118842.78682600164,23801.652892561982,7069.659630527393,250.4432035515163,554990.0,0.9713333333333334
173,6,10946.95446777562,117767.43797418488,5950.413223140496,6071.890096451887,250.3505649529794,556359.0,0.9711666666666666
174,7,58384.94039491577,120494.93667427081,47603.305785123965,8054.135909705875,250.58553210495097,557716.0,0.971
175,8,-274.1156505011496,105705.07016334328,6148.760330578512,8366.990529847844,249.2615315049795,559088.0,0.9708333333333332
176,9,973.7426902880306,93732.01897097523,5950.413223140496,6996.380659515609,248.09489490599992,560409.0,0.9706666666666668
177,10,65.8666202386757,82548.54877934662,3689.256198347107,7560.080613520164,246.89348768137242,561812.0,0.9705
178,11,74447.05070845647,106957.2369253584,43636.36363636363,6401.99892608119,249.37733348056582,563125.0,0.9703333333333334
179,12,50194.71223912674,107185.57328670636,43636.36363636363,6330.012241415233,249.398450317831,564471.0,0.9701666666666666
180,1,24033.548266912403,106860.08260029824,17851.23966942149,6507.799283898979,249.36834852495133,565783.0,0.97
181,2,9046.44759360754,106581.52449865066,1983.4710743801647,7341.534620874953,249.342587117234,567129.0,0.9698333333333332
182,3,69683.14972339611,107039.86355397936,61487.603305785095,7737.207362282464,249.38497489632655,568475.0,0.9696666666666668
183,4,22740.43330511727,107159.2897571023,15867.768595041323,6753.238506952964,249.39601958356633,569802.0,0.9695
