Flow 	 Preci 	 Evatr
131.0201320770105	5.1205101673211075	0.43422050854459976
144.29096519469547	4.887524107981258	4.868564755741311
1045.2018233689782	4.630561463957992	2.5696241473010275
-0.4312872136197692	3.1447745326612098	2.6069131445847904
879.9267542855287	5.474899004255707	6.607418651643598
4004.267091746243	0.605386486206702	4.806296625608774
79.20254288544197	2.6187941115195486	3.066366479733731
62.315318095456156	2.4482291250937323	4.132382215209214
1188.2907217801842	1.9217204816723248	1.1633580626516382
1858.069287749852	5.067558152091034	3.140125279018071
260.8199304561886	1.5701217929310338	2.6005032687676204
840.7890061667011	3.828434390974417	0.040504650429027955
831.4055518536261	5.650777124388482	1.0663072871796198
338.495832486263	3.5126285482958988	2.9874300617259233
109.66782335529965	5.678267409683809	6.902632976972229
1.2435458448543784	5.051985350830163	3.469243616256804
156.2398248998306	4.980647628564396	6.548327594561451
237.68328148121506	7.272928138456973	1.7628473080816198
96.3193111220589	2.548032664507523	1.2749842122565753
1040.7371970559927	2.0891199579232627	4.126835300850645
670.7933211536483	2.845112313454032	1.1476002541754633
2049.4843544417427	2.112117042351071	4.402236355738484
1686.227296652731	3.689205097883029	2.013218304000196
2203.985160083341	2.997131330491374	3.3496646522808415
432.9374832029216	1.0526851158798634	0.3203631920017287
141.7428914413951	4.431587646951049	1.6760034268182455
561.5720032312311	4.701729441221871	7.056594828826973
453.52559717481154	2.506552765804891	7.0068582430782875
855.0236666704762	3.7055028742636873	2.9811282145145666
249.0642532244908	6.68981536572088	1.7934309339484473
117.0446105498603	4.562922826809647	1.2249050598867175
401.77744157831245	4.070819050091718	0.3244288354528322
967.6055053179061	4.653042277781467	2.9722724606170234
1245.4167670813986	1.903451424766706	4.475683680993164
291.76256566861196	2.4836149822483673	1.4531477258101708
1742.2804149896922	3.0510030304631197	3.7466572043332262
1143.4280153774832	3.7460432008481663	0.6502916026162784
220.4479927077808	2.035008860219302	1.935077154738606
121.96031212600192	4.119185605067092	2.8708346657277435
1059.1925066318522	4.549755355641769	5.9407114622444706
253.31297197701912	4.443042258570149	6.379127750680722
67.93728512339956	7.553671952608344	3.3999397572043644
72.0389238531076	2.5162249258234053	1.9990901458491728
88.44376360602351	3.100403548937864	3.7551609747381804
111.94267298864513	4.110185990829455	2.223068529070037
