observedStorage observedOutflow observedWaterSupply elevationEnd observedInflow storage outflow  totalWaterSupply  waterSupply elevation  totalIndoor  totalOutdoor  numOfHouseholds  population inflow deficit
109981.59774999997 34924.93976 2520.99037 250.25 63885.585230000004 111540.89744920278 61487.603305785095  2452.251709041313  2452.251709041313 249.80123623871293  5.048980269799221E8  2.4012256007953055E7  68434.0  182397.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
105483.08778999998 140842.23776 2332.56072 249.85 138676.28852 178379.63519483322 69421.48760330575  2416.0631710639236  2416.0631710639236 254.97452234493988  4.5689347117416745E8  6.421154052267992E7  68634.0  182860.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
106774.32675999998 19860.485109999998 2582.47794 249.97 23734.20202 138258.7673293091 61487.603305785095  2367.4665797393054  2367.4665797393054 252.04021824701698  5.069145951188192E8  3708932.6524452004  68835.0  183380.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
102133.00695999998 7021.4838 2796.6927 249.54 5176.8567 111348.37027527901 29752.066115702488  2335.187638327642  2335.187638327642 249.78343108066946  4.915305720126515E8  1.2130920020266296E7  69035.0  183866.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
105699.28602 9100.16036 2582.47794 249.87 15248.917360000001 117629.55876446192 6148.760330578512  2818.9685402385808  2818.9685402385808 250.33868700589784  5.0891913182075095E8  9.908592853045663E7  69235.0  184355.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
82730.70342 19695.8571 3034.7091 247.55 -238.0164 109123.75087405209 5950.413223140496  2317.378267269343  2317.378267269343 249.5776954475217  4.935269162187755E8  6293387.957584952  69436.0  184871.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
74245.41876 12051.56372 2766.94065 246.55 6333.21971 106663.01527542321 6148.760330578512  2645.1949780503573  2645.1949780503573 249.35012348797034  5.110131029711672E8  5.951186362984812E7  69636.0  185376.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
95520.11798 10760.32475 2766.94065 248.93 34801.96462 127025.75557473506 11900.826446280991  2538.397874407181  2538.397874407181 251.13793743047265  5.120594809798008E8  3.543111027475074E7  69836.0  185887.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
94925.07697999998 3570.246 3034.7091 248.87 6009.914100000001 124781.32873004166 5950.413223140496  2303.9277215528987  2303.9277215528987 250.95479399810833  4.965480284056664E8  371214.71124200127  70037.0  186394.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
82750.53811999998 11928.58858 2152.0649500000004 247.56 1906.1146700000002 112271.69282448593 11900.826446280993  2514.9241292747006  2514.9241292747006 249.86882112498714  5.141925602982201E8  2.823513095528073E7  70237.0  186926.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
167841.40111999997 65097.485400000005 2439.6681 254.71 152628.0165 180271.7493752889 81322.31404958678  3305.645899610327  3305.645899610327 255.10340673730772  4.986087218336079E8  2.1436462497726375E8  70437.0  187429.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
107399.11980999997 103545.06788 2520.99037 250.04 45623.77694 159928.77828540778 63471.07438016526  2495.673649716119  2495.673649716119 253.66147185955202  5.162827398387853E8  2.1992940202322517E7  70638.0  187946.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
113301.92652999997 12297.514000000001 2705.45308 250.55 20905.773800000003 116832.02942360347 61487.603305785095  2514.9193560194076  2514.9193560194076 250.26998185937316  5.1731700144692945E8  2.5109660293993793E7  70838.0  188451.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
108081.43348999997 27990.72864 2388.09788 250.1 25158.33348 111772.19794209885 27768.59504132232  2449.5699201823213  2449.5699201823213 249.8226272026356  4.6825469849988914E8  6.0077166823726036E7  71038.0  188993.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
110848.37413999997 63209.22196 2889.91579 250.34 68866.07840000001 116154.5401032749 61487.603305785095  2996.1329330390454  2996.1329330390454 250.21161785865567  5.1944986344817716E8  1.2676663693744114E8  71239.0  189491.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
107397.13633999997 8271.0699 3153.7173000000003 250.04 7973.549400000001 111669.68281368272 9917.355371900827  2541.051317691333  2541.051317691333 249.81314647310484  5.037578000388255E8  4.4305095205603614E7  71439.0  190025.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
