index,dates,shiftFactor,population,storage_asis,observedInflow,observedInflow_fitted,storage,storage_fitted,outflow,outflow_fitted,waterSupply,waterSupply_fitted,elevation,elevation_fitted
49,1,0.952,3.91484,55.6259559774095,34501.4233235074,33269.9174405037,60.2060492611382,50.9885706594207,31933.9101250743,28592.485674169,5796.11280550179,5793.50515116832,-1.61547055216662,-2.09531772520085
50,2,0.951,3.9281,44.6997989681773,33346.5068717238,33269.9174405037,55.0699996808151,50.9885706594207,30179.7302643813,28592.485674169,5752.36884080555,5793.50515116832,-1.84277197816901,-2.09531772520085
51,3,0.95,3.94141,48.6652163995247,32191.5904199401,33269.9174405037,49.933950100492,50.9885706594207,28425.5504036884,28592.485674169,5708.6248761093,5793.50515116832,-2.07007340417141,-2.09531772520085
52,4,0.949,3.95461,49.3825752273109,32646.8963336322,33269.9174405037,48.4752832885214,50.9885706594207,28040.0437740336,28592.485674169,5715.47280628808,5793.50515116832,-2.11560480647967,-2.09531772520085
53,5,0.948,3.96731,32.278428148013,33102.2022473242,33269.9174405037,47.0166164765508,50.9885706594207,27654.5371443788,28592.485674169,5722.32073646687,5793.50515116832,-2.16113620878794,-2.09531772520085
54,6,0.947,3.98065,7.71142998383811,32718.9482722274,33269.9174405037,47.4897829642089,50.9885706594207,26974.9879693322,28592.485674169,5752.01407262762,5793.50515116832,-2.11027252516023,-2.09531772520085
55,7,0.946,3.99372,-0.990887196668029,32335.6942971306,33269.9174405037,47.962949451867,50.9885706594207,26295.4387942855,28592.485674169,5781.70740878837,5793.50515116832,-2.05940884153252,-2.09531772520085
56,8,0.945,4.00655,55.6050651785284,30836.2545078537,33269.9174405037,48.3385653405607,50.9885706594207,24841.8856746117,28592.485674169,5803.77966785312,5793.50515116832,-2.02725561814604,-2.09531772520085
57,9,0.944,4.01943,37.5748102185217,29336.8147185769,33269.9174405037,48.7141812292544,50.9885706594207,23388.3325549379,28592.485674169,5825.85192691787,5793.50515116832,-1.99510239475956,-2.09531772520085
58,10,0.943,4.0327,88.0801295200471,27482.0880592313,33269.9174405037,47.6024496331097,50.9885706594207,21892.3248238179,28592.485674169,5879.56498909302,5793.50515116832,-2.04281128373974,-2.09531772520085
59,11,0.942,4.04574,48.9578293962803,25627.3613998858,33269.9174405037,46.4907180369649,50.9885706594207,20396.3170926979,28592.485674169,5933.27805126816,5793.50515116832,-2.09052017271991,-2.09531772520085
60,12,0.941,4.05936,69.2465969716365,24212.9072237349,33269.9174405037,43.8041143375272,50.9885706594207,19280.2959874641,28592.485674169,5963.10642573962,5793.50515116832,-2.22365741939014,-2.09531772520085
61,1,0.94,4.07199,48.1446920741881,22798.4530475839,33269.9174405037,41.1175106380895,50.9885706594207,18164.2748822303,28592.485674169,5992.93480021107,5793.50515116832,-2.35679466606036,-2.09531772520085
62,2,0.939,4.08446,43.0023406418409,20981.0328672248,33269.9174405037,36.9415039290998,50.9885706594207,16740.7182892145,28592.485674169,5951.33719775952,5793.50515116832,-2.55528124760341,-2.09531772520085
63,3,0.938,4.09715,40.198341906161,19163.6126868658,33269.9174405037,32.7654972201101,50.9885706594207,15317.1616961987,28592.485674169,5909.73959530797,5793.50515116832,-2.75376782914646,-2.09531772520085
64,4,0.937,4.11021,49.4788106234179,17507.1269884281,33269.9174405037,29.0115033239481,50.9885706594207,13377.4092685092,28592.485674169,5842.12788264917,5793.50515116832,-2.91989596778641,-2.09531772520085
65,5,0.936,4.12334,36.4705601811986,15850.6412899904,33269.9174405037,25.2575094277862,50.9885706594207,11437.6568408198,28592.485674169,5774.51616999037,5793.50515116832,-3.08602410642636,-2.09531772520085
66,6,0.935,4.13651,15.0702463645168,17088.3208416072,33269.9174405037,26.4447202132831,50.9885706594207,11459.7536037651,28592.485674169,5736.38641166744,5793.50515116832,-3.04026893832544,-2.09531772520085
67,7,0.934,4.14941,-16.9281042254046,18326.0003932239,33269.9174405037,27.6319309987801,50.9885706594207,11481.8503667104,28592.485674169,5698.25665334452,5793.50515116832,-2.99451377022452,-2.09531772520085
68,8,0.933,4.16238,18.6999619882444,21884.2939141804,33269.9174405037,32.1883353889437,50.9885706594207,14461.672766771,28592.485674169,5727.02858629764,5793.50515116832,-2.81698525638525,-2.09531772520085
69,9,0.932,4.17546,-4.04186280775417,25442.5874351368,33269.9174405037,36.7447397791074,50.9885706594207,17441.4951668317,28592.485674169,5755.80051925077,5793.50515116832,-2.63945674254599,-2.09531772520085
70,10,0.931,4.18884,-23.6260911248411,29504.9126182421,33269.9174405037,41.5276563959784,50.9885706594207,21465.5083168485,28592.485674169,5866.62446821768,5793.50515116832,-2.45889069718666,-2.09531772520085
71,11,0.93,4.20165,1.46814376052427,33567.2378013474,33269.9174405037,46.3105730128495,50.9885706594207,25489.5214668653,28592.485674169,5977.4484171846,5793.50515116832,-2.27832465182734,-2.09531772520085
72,12,0.929,4.21501,26.3355781993423,37131.6814979068,33269.9174405037,51.3796001674276,50.9885706594207,28820.9104660722,28592.485674169,6069.2326368571,5793.50515116832,-2.08586138130146,-2.09531772520085
73,1,0.928,4.22814,179.087757999841,40696.1251944662,33269.9174405037,56.4486273220057,50.9885706594207,32152.2994652792,28592.485674169,6161.0168565296,5793.50515116832,-1.89339811077558,-2.09531772520085
74,2,0.927,4.24113,91.156794819495,42638.5763710219,33269.9174405037,61.6812226482008,50.9885706594207,34150.3006162401,28592.485674169,6189.95549400619,5793.50515116832,-1.67647551840761,-2.09531772520085
75,3,0.926,4.25424,94.9927534989989,44581.0275475776,33269.9174405037,66.913817974396,50.9885706594207,36148.3017672011,28592.485674169,6218.89413148278,5793.50515116832,-1.45955292603963,-2.09531772520085
76,4,0.925,4.2673,126.075238193226,44699.001523408,33269.9174405037,70.146928960853,50.9885706594207,36714.2937012121,28592.485674169,6270.33933292305,5793.50515116832,-1.2998617699892,-2.09531772520085
77,5,0.924,4.27991,73.6350140874758,44816.9754992385,33269.9174405037,73.38003994731,50.9885706594207,37280.2856352232,28592.485674169,6321.78453436333,5793.50515116832,-1.14017061393878,-2.09531772520085
78,6,0.923,4.29279,75.8446845351537,45399.1364575074,33269.9174405037,76.4411038394077,50.9885706594207,37622.0906088632,28592.485674169,6388.63236020436,5793.50515116832,-1.00064560486179,-2.09531772520085
79,7,0.922,4.30576,84.0067974623831,45981.2974157763,33269.9174405037,79.5021677315054,50.9885706594207,37963.8955825033,28592.485674169,6455.48018604538,5793.50515116832,-0.861120595784813,-2.09531772520085
80,8,0.921,4.31892,58.0857708689822,46267.6590544074,33269.9174405037,83.435303273613,50.9885706594207,38191.3599189416,28592.485674169,6451.56307198897,5793.50515116832,-0.727945008021444,-2.09531772520085
81,9,0.92,4.33226,31.0226948975929,46554.0206930385,33269.9174405037,87.3684388157205,50.9885706594207,38418.8242553799,28592.485674169,6447.64595793255,5793.50515116832,-0.594769420258075,-2.09531772520085
82,10,0.919,4.3447,21.3625960345112,44841.2981668761,33269.9174405037,88.2301871593959,50.9885706594207,37731.7371806173,28592.485674169,6366.35271801933,5793.50515116832,-0.599155315272861,-2.09531772520085
83,11,0.918,4.35814,5.21853273860279,43128.5756407137,33269.9174405037,89.0919355030712,50.9885706594207,37044.6501058547,28592.485674169,6285.05947810611,5793.50515116832,-0.603541210287647,-2.09531772520085
84,12,0.917,4.37052,46.4096838496332,40852.7086746596,33269.9174405037,85.3687324971706,50.9885706594207,35725.1491173174,28592.485674169,6246.37733784833,5793.50515116832,-0.795790118616931,-2.09531772520085
85,1,0.916,4.38352,222.234251175508,38576.8417086055,33269.9174405037,81.64552949127,50.9885706594207,34405.6481287801,28592.485674169,6207.69519759055,5793.50515116832,-0.988039026946214,-2.09531772520085
86,2,0.915,4.39622,245.754683369512,37655.3008672907,33269.9174405037,75.9583543475387,50.9885706594207,33809.6344896595,28592.485674169,6217.26356143288,5793.50515116832,-1.26765276816201,-2.09531772520085
87,3,0.914,4.40958,165.155556249982,36733.760025976,33269.9174405037,70.2711792038073,50.9885706594207,33213.6208505389,28592.485674169,6226.83192527522,5793.50515116832,-1.54726650937782,-2.09531772520085
88,4,0.913,4.42278,50.388979904158,35808.2807894917,33269.9174405037,63.1582219590221,50.9885706594207,32608.6417974865,28592.485674169,6229.82110753494,5793.50515116832,-1.8778312376864,-2.09531772520085
89,5,0.912,4.43612,47.380260139662,34882.8015530075,33269.9174405037,56.0452647142369,50.9885706594207,32003.662744434,28592.485674169,6232.81028979467,5793.50515116832,-2.20839596599499,-2.09531772520085
90,6,0.911,4.44922,24.580747248774,33717.6888319724,33269.9174405037,48.4343022171284,50.9885706594207,30855.3498653698,28592.485674169,6263.29537802246,5793.50515116832,-2.51319709287072,-2.09531772520085
91,7,0.91,4.46198,-2.0575650369406,32552.5761109373,33269.9174405037,40.82333972002,50.9885706594207,29707.0369863055,28592.485674169,6293.78046625026,5793.50515116832,-2.81799821974645,-2.09531772520085
92,8,0.909,4.47477,-22.3967367822926,32170.8380111159,33269.9174405037,34.9151109044563,50.9885706594207,28622.8997472026,28592.485674169,6371.226341413,5793.50515116832,-3.03200127877925,-2.09531772520085
93,9,0.908,4.48783,-42.6231409853193,31789.0999112946,33269.9174405037,29.0068820888925,50.9885706594207,27538.7625080997,28592.485674169,6448.67221657574,5793.50515116832,-3.24600433781204,-2.09531772520085
94,10,0.907,4.50026,-64.3486447874099,33246.2541201673,33269.9174405037,28.2917773501993,50.9885706594207,27721.8400764924,28592.485674169,6508.91921736178,5793.50515116832,-3.27335697350506,-2.09531772520085
95,11,0.906,4.51371,-68.5455475251205,34703.4083290401,33269.9174405037,27.5766726115061,50.9885706594207,27904.9176448852,28592.485674169,6569.16621814782,5793.50515116832,-3.30070960919807,-2.09531772520085
96,12,0.905,4.52632,46.9650434263775,35620.7115642436,33269.9174405037,29.3801096123614,50.9885706594207,28455.0946087853,28592.485674169,6597.87927236089,5793.50515116832,-3.23287385539937,-2.09531772520085
97,1,0.904,4.53932,166.948037005157,36538.0147994472,33269.9174405037,31.1835466132167,50.9885706594207,29005.2715726854,28592.485674169,6626.59232657396,5793.50515116832,-3.16503810160067,-2.09531772520085
98,2,0.903,4.55204,50.000332143281,36802.5305069481,33269.9174405037,34.0300134274633,50.9885706594207,29062.7384538982,28592.485674169,6613.58051220441,5793.50515116832,-3.01997567396925,-2.09531772520085
99,3,0.902,4.56499,161.530493020813,37067.0462144489,33269.9174405037,36.8764802417099,50.9885706594207,29120.205335111,28592.485674169,6600.56869783486,5793.50515116832,-2.87491324633784,-2.09531772520085
100,4,0.901,4.57805,49.9163038813925,35631.55883691,33269.9174405037,38.552327787952,50.9885706594207,28185.6701464915,28592.485674169,6590.89416040948,5793.50515116832,-2.75019101253474,-2.09531772520085
101,5,0.9,4.59112,59.1791120200125,34196.071459371,33269.9174405037,40.2281753341942,50.9885706594207,27251.1349578721,28592.485674169,6581.21962298409,5793.50515116832,-2.62546877873165,-2.09531772520085
102,6,0.899,4.60326,32.9176922155737,31460.5258857918,33269.9174405037,37.6538606194654,50.9885706594207,25513.0941356802,28592.485674169,6575.44975382391,5793.50515116832,-2.68846955928253,-2.09531772520085
103,7,0.898,4.61652,-2.38991387749149,28724.9803122126,33269.9174405037,35.0795459047367,50.9885706594207,23775.0533134884,28592.485674169,6569.67988466372,5793.50515116832,-2.75147033983341,-2.09531772520085
104,8,0.897,4.62977,-14.8517416959966,27906.0308637319,33269.9174405037,31.5314956274316,50.9885706594207,22800.9847293765,28592.485674169,6592.9380228075,5793.50515116832,-2.88412293794418,-2.09531772520085
105,9,0.896,4.64298,3.90316130703128,27087.0814152512,33269.9174405037,27.9834453501265,50.9885706594207,21826.9161452645,28592.485674169,6616.19616095129,5793.50515116832,-3.01677553605495,-2.09531772520085
106,10,0.895,4.65604,-6.70239751602665,27797.1486175426,33269.9174405037,26.5956505529983,50.9885706594207,22081.5220392244,28592.485674169,6622.5218897889,5793.50515116832,-3.07926037914313,-2.09531772520085
107,11,0.894,4.66937,-23.4481091178478,28507.2158198341,33269.9174405037,25.2078557558702,50.9885706594207,22336.1279331842,28592.485674169,6628.84761862652,5793.50515116832,-3.14174522223131,-2.09531772520085
108,12,0.893,4.68291,-27.7981128889487,29236.6996707758,33269.9174405037,25.0688688043094,50.9885706594207,22901.3418230433,28592.485674169,6560.46852506779,5793.50515116832,-3.1658793179365,-2.09531772520085
109,1,0.892,4.69606,46.7161409564883,29966.1835217175,33269.9174405037,24.9298818527486,50.9885706594207,23466.5557129025,28592.485674169,6492.08943150905,5793.50515116832,-3.19001341364169,-2.09531772520085
110,2,0.891,4.70921,69.0023383708234,30443.0572775097,33269.9174405037,25.6586614489316,50.9885706594207,23796.2510106955,28592.485674169,6415.15808346985,5793.50515116832,-3.16702949287569,-2.09531772520085
111,3,0.89,4.72224,153.955273350284,30919.9310333019,33269.9174405037,26.3874410451145,50.9885706594207,24125.9463084885,28592.485674169,6338.22673543064,5793.50515116832,-3.1440455721097,-2.09531772520085
112,4,0.889,4.73476,54.5397022425874,31538.5580833407,33269.9174405037,28.7591598693741,50.9885706594207,24353.7715811588,28592.485674169,6335.07286113689,5793.50515116832,-3.02714590648714,-2.09531772520085
113,5,0.888,4.74743,36.5697554592026,32157.1851333794,33269.9174405037,31.1308786936337,50.9885706594207,24581.5968538291,28592.485674169,6331.91898684314,5793.50515116832,-2.91024624086459,-2.09531772520085
114,6,0.887,4.76071,13.2789289440616,31649.6665586449,33269.9174405037,33.217065762008,50.9885706594207,24352.8569143302,28592.485674169,6356.76370348596,5793.50515116832,-2.7876887619995,-2.09531772520085
115,7,0.886,4.77395,11.1876382693583,31142.1479839103,33269.9174405037,35.3032528303823,50.9885706594207,24124.1169748312,28592.485674169,6381.60842012877,5793.50515116832,-2.66513128313442,-2.09531772520085
116,8,0.885,4.78735,-2.83327080684598,29222.3859474281,33269.9174405037,33.8679576435045,50.9885706594207,22975.8485641173,28592.485674169,6412.98953449704,5793.50515116832,-2.699412680223,-2.09531772520085
117,9,0.884,4.80045,-14.9018143544457,27302.6239109459,33269.9174405037,32.4326624566267,50.9885706594207,21827.5801534034,28592.485674169,6444.37064886531,5793.50515116832,-2.73369407731157,-2.09531772520085
118,10,0.883,4.81334,0.588789689262695,26945.139370559,33269.9174405037,30.4449090402335,50.9885706594207,21164.5762146772,28592.485674169,6609.35256114559,5793.50515116832,-2.81004974456133,-2.09531772520085
119,11,0.882,4.82631,24.9807089517214,26587.6548301722,33269.9174405037,28.4571556238403,50.9885706594207,20501.5722759509,28592.485674169,6774.33447342587,5793.50515116832,-2.88640541181109,-2.09531772520085
120,12,0.881,4.83912,45.2897537319323,27349.9267823769,33269.9174405037,28.6381206096653,50.9885706594207,20615.0466455248,28592.485674169,6958.17811831008,5793.50515116832,-2.89172263152988,-2.09531772520085
