observedStorage observedOutflow observedWaterSupply elevationEnd observedInflow storage outflow  totalWaterSupply  waterSupply elevation  totalIndoor  totalOutdoor  numOfHouseholds  population inflow deficit
107399.11980999997 103545.06788 2520.99037 250.04 45623.77694 159937.65649802494 63471.07438016526  2494.845298919482  2494.845298919482 253.6621204250146  5.16072252537287E8  2.2024765887367047E7  70638.0  187854.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
113301.92652999997 12297.514000000001 2705.45308 250.55 20905.773800000003 116841.77188262389 61487.603305785095  2514.055109616144  2514.055109616144 250.27082114771054  5.170937671500538E8  2.5146490883612767E7  70838.0  188351.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
108081.43348999997 27990.72864 2388.09788 250.1 25158.33348 111782.72864809126 27768.59504132232  2448.7816732103106  2448.7816732103106 249.82360109572656  4.679753665382785E8  6.018648690299445E7  71038.0  188849.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
110848.37413999997 63209.22196 2889.91579 250.34 68866.07840000001 116165.76360229561 61487.603305785095  2995.440140010726  2995.440140010726 250.21258473486353  5.1916062828614336E8  1.26906448059801E8  71239.0  189358.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
107397.13633999997 8271.0699 3153.7173000000003 250.04 7973.549400000001 111681.71619677247 9917.355371900827  2540.2414336223023  2540.2414336223023 249.814259335686  5.034769391654297E8  4.441127743137207E7  71439.0  189893.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
102047.71774999998 10944.78746 3566.2790600000003 249.55 9161.647930000001 109972.07875407152 6148.760330578512  4722.525042122435  4722.525042122435 249.65614988939902  5.212810818260317E8  4.97289747275717E8  71639.0  190389.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
83839.46314999998 11722.307700000001 3391.7336999999998 247.69 -3094.2132 97296.25101405606 5950.413223140496  3631.2013168749672  3631.2013168749672 248.4479289831672  5.0547012360819167E8  2.777201618800116E8  71840.0  190896.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
68897.98363999999 12666.43942 3750.74177 245.88 1475.70168 89830.54233185425 6148.760330578512  2792.6500316233055  2792.6500316233055 247.6844907923317  5.2333391212612396E8  7.899467961862332E7  72040.0  191392.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
100810.03247 8362.309519999999 3320.3287800000003 249.43 43594.687130000006 120709.36167673174 5950.413223140496  6765.454561982031  6765.454561982031 250.60400427952547  5.243452584399581E8  9.348518026635259E8  72240.0  191885.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
89087.72477 7616.5248 2856.1967999999997 248.26 -1249.5861 111097.74705293737 5950.413223140496  2411.6153006538802  2411.6153006538802 249.76025312613865  5.084534038267676E8  1.1692275518624168E7  72441.0  192399.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
73223.93171 10637.34961 2889.91579 246.43 -2336.5276599999997 102446.30654923397 3689.2561983471073  2625.656645356294  2625.656645356294 248.95803749497168  5.264269548297329E8  3.9883915381347924E7  72641.0  192899.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
69415.66931 5057.8485 2499.1722 245.95 3748.7583000000004 100126.08207096808 3570.2479338842977  2498.7348443815886  2498.7348443815886 248.7282212827821  5.104721265360083E8  2.8463802748748396E7  72842.0  193415.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
