shift,filename,bps,timepoint,stor.fitp,pop.fitp
0.7 shift,reservoir-timeSeries-16.txt,0,1,127.64043866482181,1.7256516666666666
0.7 shift,reservoir-timeSeries-16.txt,1,182,127.64043866482162,2.8995083333333334
0.7 shift,reservoir-timeSeries-16.txt,2,424,114.77170286946432,5.910956249999999
0.7 shift,reservoir-timeSeries-16.txt,3,588,107.44005626273886,8.082949999999999
0.7 shift,reservoir-timeSeries-17.txt,0,1,127.49587035861803,1.7272812499999997
0.7 shift,reservoir-timeSeries-17.txt,1,182,127.4958703586187,2.90345375
0.7 shift,reservoir-timeSeries-17.txt,2,468,114.35351650014431,6.486042916666666
0.7 shift,reservoir-timeSeries-17.txt,3,588,97.26383999840762,8.087911666666667
0.7 shift,reservoir-timeSeries-18.txt,0,1,127.61927815162132,1.7306245833333331
0.7 shift,reservoir-timeSeries-18.txt,1,182,127.61927815162115,2.89942125
0.7 shift,reservoir-timeSeries-18.txt,2,466,114.02047469161667,6.448203333333333
0.7 shift,reservoir-timeSeries-18.txt,3,588,102.6022997002297,8.079542083333333
0.7 shift,reservoir-timeSeries-19.txt,0,1,125.42651561565805,1.7279641666666665
0.7 shift,reservoir-timeSeries-19.txt,1,244,125.42651561565857,3.470532916666667
0.7 shift,reservoir-timeSeries-19.txt,2,588,110.91694957255355,8.082335416666666
0.7 shift,reservoir-timeSeries-20.txt,0,1,127.46981321265588,1.7311149999999997
0.7 shift,reservoir-timeSeries-20.txt,1,182,127.46981321265531,2.9027408333333335
0.7 shift,reservoir-timeSeries-20.txt,2,445,114.74403331113461,6.19106
0.7 shift,reservoir-timeSeries-20.txt,3,588,108.2321152126389,8.089903333333332
0.7 shift,reservoir-timeSeries-21.txt,0,1,125.63014263404389,1.7302670833333333
0.7 shift,reservoir-timeSeries-21.txt,1,244,125.63014263404347,3.4729770833333333
0.7 shift,reservoir-timeSeries-21.txt,2,427,111.2814331538984,5.9479066666666665
0.7 shift,reservoir-timeSeries-21.txt,3,588,101.00501087054926,8.086730416666667
0.7 shift,reservoir-timeSeries-22.txt,0,1,127.49300897141725,1.7254429166666665
0.7 shift,reservoir-timeSeries-22.txt,1,183,127.49300897141742,2.906557083333333
0.7 shift,reservoir-timeSeries-22.txt,2,465,113.62462048879883,6.427912916666666
0.7 shift,reservoir-timeSeries-22.txt,3,588,103.28450151721302,8.074997083333333
0.7 shift,reservoir-timeSeries-23.txt,0,1,127.36104986588306,1.7378495833333332
0.7 shift,reservoir-timeSeries-23.txt,1,182,127.36104986588225,2.9109645833333326
0.7 shift,reservoir-timeSeries-23.txt,2,326,115.83113248255682,4.620749583333333
0.7 shift,reservoir-timeSeries-23.txt,3,588,104.5529116777344,8.088954583333333
0.7 shift,reservoir-timeSeries-24.txt,0,1,125.53130264028837,1.7307350000000004
0.7 shift,reservoir-timeSeries-24.txt,1,244,125.5313026402876,3.4779337499999996
0.7 shift,reservoir-timeSeries-24.txt,2,588,110.17725180555621,8.086884166666666
0.7 shift,reservoir-timeSeries-25.txt,0,1,125.52472689147784,1.7297508333333331
0.7 shift,reservoir-timeSeries-25.txt,1,244,125.52472689147773,3.471884166666667
0.7 shift,reservoir-timeSeries-25.txt,2,460,111.72704759586813,6.377867083333332
0.7 shift,reservoir-timeSeries-25.txt,3,588,101.7226448066034,8.08556625
0.7 shift,reservoir-timeSeries-26.txt,0,1,125.58861692550963,1.7313179166666666
0.7 shift,reservoir-timeSeries-26.txt,1,244,125.58861692550785,3.472397916666666
0.7 shift,reservoir-timeSeries-26.txt,2,588,110.71228189808382,8.087341666666665
0.7 shift,reservoir-timeSeries-27.txt,0,1,127.45414737237387,1.7299616666666666
0.7 shift,reservoir-timeSeries-27.txt,1,183,127.45414737237424,2.912675833333333
0.7 shift,reservoir-timeSeries-27.txt,2,326,115.84202870577928,4.617101666666667
0.7 shift,reservoir-timeSeries-27.txt,3,588,107.69059461334815,8.092019166666667
0.7 shift,reservoir-timeSeries-28.txt,0,1,127.63236884535361,1.72725875
0.7 shift,reservoir-timeSeries-28.txt,1,182,127.63236884535492,2.8987954166666663
0.7 shift,reservoir-timeSeries-28.txt,2,441,113.57235272851746,6.133431249999999
0.7 shift,reservoir-timeSeries-28.txt,3,588,100.23340936105208,8.092815416666665
0.7 shift,reservoir-timeSeries-29.txt,0,1,127.46475295768013,1.729470833333333
0.7 shift,reservoir-timeSeries-29.txt,1,183,127.46475295768045,2.9118775
0.7 shift,reservoir-timeSeries-29.txt,2,468,114.05011278312153,6.4859254166666664
