observedStorage observedOutflow observedWaterSupply elevationEnd observedInflow storage outflow  totalWaterSupply  waterSupply elevation  totalIndoor  totalOutdoor  numOfHouseholds  population shiftFactor inflow deficit
1079441.0740066816 0.0 0.0 0.0 3487.539461216576 108686.050403106 5950.413223140496  5606.714692440728  5606.714692440728 249.53721635097622  1.02037186149771E9  1.889041046186934E8  140399.0  373335.0 0.9725 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1092584.4879849066 0.0 0.0 0.0 13143.413978224973 109070.61157734618 7933.884297520661  4824.96850646411  4824.96850646411 249.57278105774031  9.899213776955657E8  5.07448184976872E7  140906.0  374574.0 0.9716666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1191423.39904805 0.0 0.0 0.0 98838.91106314331 141452.2472743098 61487.603305785095  4969.672060394897  4969.672060394897 252.28329024770207  1.0256435012600511E9  4.6232866948677294E7  141414.0  375903.0 0.9708333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1214603.4072350308 0.0 0.0 0.0 23180.008186980776 108283.09495154633 51570.24793388428  4778.912575860092  4778.912575860092 249.49995051803813  1.0283931507358899E9  2339540.1839974457  141921.0  377245.0 0.97 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1267543.2412204926 0.0 0.0 0.0 52939.83398546195 108978.51623320734 47603.30578512396  4641.106918677086  4641.106918677086 249.56426396311915  9.313346445235335E8  6.967563704107027E7  142429.0  378572.0 0.9691666666666666 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1332880.1170724807 0.0 0.0 0.0 65336.87585198817 106973.66118387028 59504.13223140493  7837.5986699204495  7837.5986699204495 249.37885241689358  1.0337517912750012E9  6.566890860486455E8  142936.0  379852.0 0.9683333333333334 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1335172.2089344936 0.0 0.0 0.0 2292.0918620128086 100578.24016558049 3570.2479338842977  5117.264946418306  5117.264946418306 248.77300714793785  1.0029843005232188E9  1.0072542101654084E8  143443.0  381149.0 0.9675 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1387877.1864308966 0.0 0.0 0.0 52704.97749640301 123717.69605605328 23801.652892561982  5763.868713368255  5763.868713368255 250.8631647188192  1.0391251864768721E9  2.0404631221276265E8  143951.0  382469.0 0.9666666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1443195.485282603 0.0 0.0 0.0 55318.29885170626 126042.70948479637 47603.305785123965  5389.97963783921  5389.97963783921 251.05871701867972  1.008171567971372E9  1.5435821844114578E8  144458.0  383759.0 0.9658333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1450840.1126992528 0.0 0.0 0.0 7644.627416649927 122636.30325817726 5950.413223140496  5100.620420128553  5100.620420128553 250.77000544953285  1.0444524108965639E9  5.566736060717229E7  144966.0  385062.0 0.965 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1475072.2355653828 0.0 0.0 0.0 24232.122866130027 122919.00499861235 17851.239669421488  6098.181456273433  6098.181456273433 250.79435949333325  1.0470907667779075E9  2.681864814185049E8  145473.0  386353.0 0.9641666666666666 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1479675.381766592 0.0 0.0 0.0 4603.146201209123 116624.35541427649 5950.413223140496  4947.382562404485  4947.382562404485 250.25209126587495  1.0158081684085157E9  5.126072239126833E7  145981.0  387614.0 0.9633333333333334 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1482994.9088591654 0.0 0.0 0.0 3319.5270925734258 108016.35452034297 5950.413223140496  5977.114763366436  5977.114763366436 249.47528202352194  1.0522673064963967E9  2.3689785109603718E8  146488.0  388880.0 0.9625 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1493691.3633557584 0.0 0.0 0.0 10696.454496593004 109155.15885546494 3966.9421487603304  5590.708012710695  5590.708012710695 249.58060009761076  1.0209174561241626E9  1.8490613294781467E8  146996.0  390183.0 0.9616666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1504215.989039853 0.0 0.0 0.0 10524.625684094635 108539.62607224459 5950.413223140496  5189.745244174472  5189.745244174472 249.52367484252702  1.0576363045679103E9  6.1706222798189685E7  147503.0  391497.0 0.9608333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1525383.9471426755 0.0 0.0 0.0 21167.95810282255 108205.10994331085 15867.768595041325  5634.705636714928  5634.705636714928 249.4927383652373  1.0603251825207912E9  1.5498796901271597E8  148011.0  392808.0 0.96 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1663183.3469076944 0.0 0.0 0.0 137799.39976501893 173342.93519886045 67438.01652892558  5223.557980543886  5223.557980543886 254.61914945310525  9.600393723600583E8  1.6659600503791127E8  148518.0  394063.0 0.9591666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1698326.5884766409 0.0 0.0 0.0 35143.24156894654 141174.81955961438 61487.603305785095  5823.753902407792  5823.753902407792 252.26217381333646  1.0655350953806574E9  1.905526517343685E8  149026.0  395345.0 0.9583333333333334 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1711769.988344481 0.0 0.0 0.0 13443.399867840206 107792.92226380327 41652.89256198347  5172.404601667911  5172.404601667911 249.45461872411016  1.0336924176710095E9  8.191001885962248E7  149533.0  396622.0 0.9575 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1711938.878500098 0.0 0.0 0.0 168.89015561694526 95934.59911570785 6148.760330578512  5878.452973133848  5878.452973133848 248.31305854949562  1.0707918826972524E9  1.9709355258893248E8  150041.0  397908.0 0.9566666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1716663.782886669 0.0 0.0 0.0 4724.904386571237 89087.97913403081 5950.413223140496  5621.111145107769  5621.111145107769 247.6046796145777  1.0388023072431808E9  1.735787364734761E8  150548.0  399193.0 0.9558333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1773276.6847352856 0.0 0.0 0.0 56612.90184861664 120533.56786038513 17851.239669421488  7316.073452840839  7316.073452840839 250.5888600844577  1.0760893803641825E9  5.018671018492806E8  151056.0  400490.0 0.955 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1829255.3337738386 0.0 0.0 0.0 55978.64903855306 123453.38890338715 47603.305785123965  5455.522210427058  5455.522210427058 250.8403953224834  1.0787617807582333E9  9.79044584873244E7  151563.0  401789.0 0.9541666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1842248.4116967432 0.0 0.0 0.0 12993.077922904728 125218.60348380721 5950.413223140496  5277.450119344172  5277.450119344172 250.992305059538  1.0466231438767122E9  9.163587977132659E7  152071.0  403129.0 0.9533333333333334 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1850826.4649371621 0.0 0.0 0.0 8578.05324041891 108642.84281016521 19834.710743801657  5319.103170259221  5319.103170259221 249.53322045779757  1.0842135459493015E9  6.3029354383995235E7  152578.0  404443.0 0.9525 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1854260.903475527 0.0 0.0 0.0 3434.4385383648396 103226.0789575101 3570.2479338842977  5280.954457135659  5280.954457135659 249.03227124364284  1.0518117518559504E9  8.720309970714194E7  153086.0  405742.0 0.9516666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1959974.0101068476 0.0 0.0 0.0 105713.10663132068 141405.26202531133 61487.603305785095  6046.320257734648  6046.320257734648 252.27971396143334  1.089401790291087E9  2.14689851998053E8  153593.0  406975.0 0.9508333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2086257.446092285 0.0 0.0 0.0 126283.43598543735 178830.43634177968 83305.78512396695  5552.476545002178  5552.476545002178 255.0056905994427  1.092024648658134E9  1.0555304284507261E8  154101.0  408251.0 0.95 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2138169.2334771496 0.0 0.0 0.0 51911.78738486486 166595.5874238773 59504.13223140493  4642.504071362512  4642.504071362512 254.14307891228935  9.887047105799514E8  1.2606913795025012E7  154608.0  409520.0 0.9491666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2272508.36215831 0.0 0.0 0.0 134339.1286811603 194318.01972468913 101157.02479338848  5459.671586960242  5459.671586960242 256.0528458216933  1.0972776208159535E9  8.028357057211182E7  155116.0  410806.0 0.9483333333333334 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2284696.331537522 0.0 0.0 0.0 12187.969379211941 141429.14319818883 59504.13223140493  5572.713674307593  5572.713674307593 252.28153167896093  1.0643668469952747E9  1.3757565981157833E8  155623.0  412057.0 0.9475 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2304651.2759038988 0.0 0.0 0.0 19954.944366376832 120363.36532640575 35702.479338842975  5318.242899316933  5318.242899316933 250.574197564301  1.1024132417910402E9  4.464411227478545E7  156131.0  413313.0 0.9466666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2374298.821285458 0.0 0.0 0.0 69647.54538155887 125299.84004928055 59504.132231404954  5206.938427279122  5206.938427279122 250.99885164391011  1.0694222113519155E9  5.3628602281304054E7  156638.0  414609.0 0.9458333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2405702.355226928 0.0 0.0 0.0 31403.53394146986 120788.81094977872 29752.066115702477  6162.496925269215  6162.496925269215 250.61084863454332  1.107784809994009E9  2.2136422501004323E8  157146.0  415929.0 0.945 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2411403.3451061365 0.0 0.0 0.0 5700.989879208411 114308.43155728036 6148.760330578512  6032.608941128255  6032.608941128255 250.05258025131639  1.1103836376322472E9  1.9075069961533254E8  157653.0  417199.0 0.9441666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2413516.1503035664 0.0 0.0 0.0 2112.8051974299497 104712.12599160988 5950.413223140496  5758.69753995993  5758.69753995993 249.1697027644141  1.0771517108782866E9  1.6490445092141256E8  158161.0  418506.0 0.9433333333333334 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2418140.4685405158 0.0 0.0 0.0 4624.3182369495735 98704.57300094215 3689.2561983471073  6942.615029270191  6942.615029270191 248.5874220484293  1.1157658486695178E9  3.816418058001773E8  158668.0  419828.0 0.9425 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2480105.0858302396 0.0 0.0 0.0 61964.617289723785 107813.53237659388 47603.30578512396  5252.352128948198  5252.352128948198 249.45652477356828  1.0823226760713744E9  5.052312463775204E7  159176.0  421110.0 0.9416666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2594564.3833489437 0.0 0.0 0.0 114459.29751870409 155277.30442446546 61487.603305785095  5507.9221650476875  5507.9221650476875 253.32167539078569  1.1210984683082695E9  6.68695776491876E7  159683.0  422427.0 0.9408333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2697017.031860725 0.0 0.0 0.0 102452.64851178131 173125.03806837296 79338.8429752066  5266.071892667333  5266.071892667333 254.6037753523159  1.123749034649178E9  1.2055893008140387E7  160191.0  423716.0 0.94 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2861507.424418698 0.0 0.0 0.0 164490.39255797287 213760.51133046372 119008.26446280988  4846.654833072416  4846.654833072416 257.3009049277907  1.0173441983350745E9  2.7999381140220024E7  160698.0  424983.0 0.9391666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2914965.12962414 0.0 0.0 0.0 53457.705205441955 177535.17497888056 83305.78512396695  6377.256433058287  6377.256433058287 254.9149400253214  1.1289966852154198E9  2.4647243659554863E8  161206.0  426275.0 0.9383333333333334 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2922969.892221688 0.0 0.0 0.0 8004.762597547746 120711.47846922674 59504.13223140493  5324.326875796872  5324.326875796872 250.60418663587413  1.0951895114391217E9  5.318005609500683E7  161713.0  427591.0 0.9375 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2926107.4023442985 0.0 0.0 0.0 3137.5101226106053 112432.82792261857 6148.760330578512  5267.400338640266  5267.400338640266 249.88372310391367  1.1343768688387432E9  1714582.7249791778  162221.0  428899.0 0.9366666666666666 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2926648.0800019805 0.0 0.0 0.0 540.677657681771 101560.96987071408 5950.413223140496  5462.122486445759  5462.122486445759 248.87034566865236  1.100384722078265E9  7.77050879381393E7  162728.0  430209.0 0.9358333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2941803.109540733 0.0 0.0 0.0 15155.029538752458 101519.68137311548 6148.760330578512  9047.557705772531  9047.557705772531 248.8662560789536  1.1397824827029312E9  8.116266197421846E8  163235.0  431536.0 0.935 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
